Rank,data name,Ticker,id,Key Person,USP / notes,Economic Purpose,,Issuer Industry,,Technological Setup,,Legal Claim,,Issuer Type,,Regulatory Status EU,,Mode of Origination,,Type of Maximum Supply,,Consensus Mechanism,,Tax,,Multi Chain (Y/N)
373,Egoras,EGR,empty,Nick,Egoras is a micro-financing platforrm that offers non-colletorized credits to smaller firms.,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EM81,Fixed,TCM71PW,Proof of Work,RTA72,New Asset Token,N
374,The Transfer Token,TTT,empty,Jan,We provide the best rates for overseas remittance and foreign currency exchange.,EEP22TU02,Settlement and Access token,EIN06EX,"Exchange, Trading and Settlement",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
375,INO COIN,INO,empty,Nick,INO Coin is a decentrelized crowdfunding platform for Crypto oriented fundings like ICOs with its INO token governing the system,EEP22TU03,Settlement and Governance Token,EIN06DF02,"Decentralized Lending, Saving and Asset Management",TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
376,Venus BNB,vBNB,empty,Magda,The native token of the Binance cryptocurrency exchange.,EEP22TU01,Settlement Token,EIN06DF05,Other Decentralized Finance (DeFi),TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO94,Wrapping,EMS82DC,Discretionary,TCM71PS,Proof of Stake,RTA72,New Asset Token,N
377,Doctors Coin,DRS,empty,Magda,MEDICAL BEAUTY INFLUENCERS BEYOND BORDERS,EEP22TU01,Settlement Token,EIN05MS,Media and Social Media,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
378,Rakon,RKN,empty,Nick,"Raken network aims to provide a decentrelized alternative for satellites, navigation and communication systems with RKN powering their smart contracts.",EEP22TU03,Settlement and Governance Token,EIN05TC,Telecommunications and Communications,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO91,Reward,EMS81,Fixed,TCM72DS,Proof-of-Work,RTA72,New Asset Token,N
379,CRYPTO20,C20,empty,Aavneet,The world's first tokenized crypto index fund.,EEP23FD,Fund Token,EIN06AM,Investment and Asset Management,TTS42ET01,Ethereum ERC-20 Standard Token,LLC31,No-Claim Token,LIT61PV,Private Sector Legal Entity,REU51UT,Utility Token,EMO92,Sale,EMS81,Fixed,TCM73BF02,Proof of Work,RTA72,New Asset Token,N
380,Double-A Chain,AAC,acute-angle-cloud,Noah,Alt L1 Network,,,,,,,,,,,,,,,,,,,,,
381,CoinEx,CET,coinex-token,Noah,Alt L1 Network,,,,,,,,,,,,,,,,,,,,,
382,BitKan,KAN,kan,Noah,ICO scam not realized,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
383,Cover Protocol,COVER,cover-protocol,Noah,insurance platform - had to shut down,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
384,Alpha Coin,ALPHA,alphacoin,Noah,open world game,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
385,T,T,t,Noah,scam,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
386,Pickle Finance,PICKLE,pickle-finance,Noah,yield aggregator with 2 tokens. this had no governance rights,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
387,AllianceBlock Nexera,NXRA,allianceblock-nexera,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
388,Invictus Hyperion Fund,IHF,invictus-hyprion-fund,Noah,tokenized VC fund ,EEP23FD,Fund Token,,,,,,,,,,,,,,,,,,,
389,Etherisc DIP,DIP,etherisc,Noah,insurance protocol - say they want to do/do governance but I could not find anything,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
390,DexTools,DEXT,dextools,Noah,DEX - no governance yet but enhanced acces for big holders,EEP22TU02,Settlement and Access token,,,,,,,,,,,,,,,,,,,
391,BitMart,BMX,bitmart-token,Noah,CEX token,EEP22TU02,Settlement and Access Token,,,,,,,,,,,,,,,,,,,
392,Cryptoindex.com 100,CIX100,cryptoindex-io,Noah,Crypto Index token,EEP23FD,Fund Token,,,,,,,,,,,,,,,,,,,
393,Dego Finance,DEGO,dego-finance,Noah,offers a range of products,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
394,PERL.eco,PERL,perlin,Noah,Alt L1 Network for carbon trading,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
395,Saitama,SAITAMA,saitama-inu,Noah,DEX & debit card,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
396,YfDAI.finance,YF-DAI,yfdai-finance,Noah,DeFi platform with different products,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
397,Gem Exchange and Trading,GXT,gem-exchange-and-trading,Noah,marketplace platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
398,Pendle,PENDLE,pendle,Noah,yield trading dApp,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
399,XenoRunToken,XRT,xenoruntoken,Noah,web3 game,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
400,BiFi,BIFI,bifi,Noah,lending borrowing,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
401,Enigma,ENG,enigma,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
402,88mph,MPH,88mph,Noah,lending dApp,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
403,BidiPass,BDP,bidipass,Noah,not found - chat gpt says settlement,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
404,GameCredits,GAME,gamecredits,Noah,game on polygon,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
405,XCELTOKEN PLUS,XLAB,xceltoken-plus,Noah,travel page,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
406,concertVR,CVT,concertvr,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
407,Glitch Protocol,GLCH,glitch-protocol,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
408,BOSagora,BOA,bosagora,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
409,Seele,SEELE,seele,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
410,Highstreet,HIGH,highstreet,Noah,gaming infrastructure,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
411,Zynecoin,ZYN,zynecoin,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
412,ONUS,ONUS,onus,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
413,Ripio Credit Network,RCN,ripio-credit-network,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
414,Libra Credit,LBA,libra-credit,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
415,King DAG,KDAG,kdag,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
416,Nestree,EGG,nestree,Noah,web2 marketplace,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
417,Flux,FLUX,flux,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
418,Zus,ZCN,0chain,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
419,TriumphX,TRIX,triumphx,Noah,project on TRON,,,,,,,,,,,,,,,,,,,,,
420,Ecoreal Estate,ECOREAL,ecoreal-estate,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
421,GoWithMi,GMAT,gowithmi,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
422,Bella Protocol,BEL,bella-protocol,Noah,now only on Era?,,,,,,,,,,,,,,,,,,,,,
423,BASIC,BASIC,basic,Noah,custody service,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
424,dForce,DF,dforce-token,Noah,Defi platform with different products,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
425,Throne,THN,throne,Noah,"not found, SCAM",,,,,,,,,,,,,,,,,,,,,
426,S4FE,S4F,s4fe,Noah,not found  ,,,,,,,,,,,,,,,,,,,,,
427,League of Kingdoms,LOKA,league-of-kingdoms,Noah,"HOW IT WILL BE WITH MOST VC INVESTED PROJECTS: Governance features are indefinitely delayed due to regulatory uncertainties. Instead, a $LOKA pledging feature has been released in the Q1 of 2023. ",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
428,Genopets,GENE,gene,Noah,governance plans but not yet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
429,ODEM,ODE,odem,Noah,tutoring platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
430,Crypterium,CRPT,crypterium,Noah,DeFi CeFi Mobile Wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
431,VIDY,VIDY,vidy,Noah,Ad network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
432,Rook,ROOK,rook,Noah,infrastructure,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
433,PumaPay,PMA,pumapay,Noah,payment,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
434,Dejitaru Tsuka,TSUKA,dejitaru-tsuka,Noah,no info,,,,,,,,,,,,,,,,,,,,,
435,Crypto Village Accelerator CVAG,CVAG,crypto-village-accelerator,Noah,scam pump dump not relevant,,,,,,,,,,,,,,,,,,,,,
436,Xfinance,XFI,xfinance,Noah,no info,,,,,,,,,,,,,,,,,,,,,
437,SWFTCOIN,SWFTC,swftcoin,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
438,Pillar,PLR,pillar,Noah,centralized wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
439,Arcblock,ABT,arcblock,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
440,Contracoin,CTCN,contracoin,Noah,cefi usind their token as a form of payment - absolute horseshit,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
441,Smart Valor,VALOR,smart-valor,Noah,CeFi stuff,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
442,Global Digital Content,GDC,global-digital-content,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
443,Aurora,AURORA,aurora,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
444,Sentivate,SNTVT,sentivate,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
445,Marlin,POND,marlin,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
446,Victoria VR,VR,victoria-vr,Noah,web3 game,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
447,Swerve,SWRV,swerve-dao,Noah,got exploited (governance attack),EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
448,Huobi Pool,HPT,huobi-pool-token,Noah,project on another network,,,,,,,,,,,,,,,,,,,,,
449,Juggernaut,JGN,juggernaut,Noah,on binance smart chain,,,,,,,,,,,,,,,,,,,,,
450,Aavegotchi,GHST,aavegotchi,Noah,project on another network,,,,,,,,,,,,,,,,,,,,,
451,BoringDAO [OLD],BOR,boringdao-[old],Noah,wrapper protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
452,Dentacoin,DCN,dentacoin,Noah,dentist coin??,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
453,APIX,APIX,apix,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
454,HitChain,HIT,hitchain,Noah,Alt Network & not found,,,,,,,,,,,,,,,,,,,,,
455,Euro Coin,EUROC,euro-coin,Noah,Euro Stable Coin,EEP21PP01EUR,EUR-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
456,Merit Circle,MC,mci-coin,Noah,gaming DAO,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
457,DeRace,DERC,derace,Noah,game  ,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
458,Sportzchain,SPN,sportzchain,Noah,low mcap no relevance,,,,,,,,,,,,,,,,,,,,,
459,PolySwarm,NCT,polyswarm,Noah,no decentralized project,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
460,Levolution,LEVL,levolution,Noah,,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
461,Po.et,POE,poet,Noah,ICO scam ,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
462,Dark Matter,DMT,darkmatter,Noah,project on another network,,,,,,,,,,,,,,,,,,,,,
463,Finexbox,FNB,finexbox-token,Noah,not found,,,,,,,,,,,,,,,,,,,,,
464,TrueFi,TRU,truefi,Noah,DeFi dApp,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
465,TokenPocket Token,TPT,token-pocket,Noah,wallet,EEP22TU02,Settlement and Access token,,,,,,,,,,,,,,,,,,,
466,COMBO,COMBO,cocos-bcx,Noah,project on another network,,,,,,,,,,,,,,,,,,,,,
467,APY.Finance,APY,apy-finance,Noah,not found,,,,,,,,,,,,,,,,,,,,,
468,Obyte,GBYTE,byteball,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
469,Carbon Protocol,SWTH,switcheo,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
470,SUKU,SUKU,suku,Noah,nothing realized yet,,,,,,,,,,,,,,,,,,,,,
471,FOAM,FOAM,foam-protocol,Noah,,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
472,adChain,ADT,adtoken,Noah,ICO pump dump noting found,,,,,,,,,,,,,,,,,,,,,
473,BABB,BAX,babb,Noah,wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
474,DSLA Protocol,DSLA,stacktical,Noah,risk platform,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
475,Coinweb,CWEB,coinweb,Noah,Alt L1 Network,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
476,PancakeSwap,CAKE,pancakeswap-token,Noah,DEX,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
477,REVV,REVV,revv,Noah,game on another network,EEP22TU02,Settlement and Access token,,,,,,,,,,,,,,,,,,,
478,Vectorspace AI,VXV,vectorspace,Noah,centralized service,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
479,Revolution Populi,RVP,revolution-populi,Noah,Alt L1 Network,,,,,,,,,,,,,,,,,,,,,
480,Cajutel,CAJ,cajutel,Noah,ICO pump dump noting found,,,,,,,,,,,,,,,,,,,,,
481,Base Protocol,BASE,base-protocol,Noah,failed peg to crypto mcap,,investment token?,,,,,,,,,,,,,,,,,,,
482,Cobak,CBK,cobak-token,Noah,nothing found,,,,,,,,,,,,,,,,,,,,,
483,Eminer,EM,eminer,Noah,infrastructure,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
484,TON Community,TON,tontoken,Noah,nothing found,,,,,,,,,,,,,,,,,,,,,
485,Aleph.im,ALEPH,aleph,Noah,infrastructure,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
486,SALT,SALT,salt,Noah,ICO pump dump ,,,,,,,,,,,,,,,,,,,,,
487,USDK,USDK,usdk,Noah,stablecoin (failing),EEP21PP01USD,USD-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
488,Furucombo,COMBO,furucombo,Noah,DeFi protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
489,Maximus TRIO,trio,maximus-trio,Noah,travel booking platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
490,ELYSIA,el,elysia,Noah,weird aspects to it - no decentralized product,,,,,,,,,,,,,,,,,,,,,
491,Digitex,dgtx,digitex-futures-exchange,Noah,betting,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
492,BountyMarketCap,bmc,bountymarketcap,Noah,nothing found,,,,,,,,,,,,,,,,,,,,,
493,mStable Governance: Meta,mta,meta,Noah,stablecoin protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
494,Alpha Quark,aqt,alpha-quark-token,Noah,governance UNCLEAR! only 1 vote 2 years ago,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
495,Monolith,tkn,tokencard,Noah,wallet & debit card,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
496,CryptoFranc,xchf,cryptofranc,Noah,stable coin,EEP21PP01CHF,CHF-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
497,Karma DAO,karma,karma-dao,Noah,nothing found,,,,,,,,,,,,,,,,,,,,,
498,Hermez Network,hez,hermez-network-token,Noah,L2,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
499,Bibox,bix,bibox-token,Noah,CEX,EEP22TU02,Settlement and Access token,,,,,,,,,,,,,,,,,,,
500,LockTrip,loc,lockchain,Noah,travel booking platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
501,Polytrade,trade,polytrade,Noah,on polygon,,,,,,,,,,,,,,,,,,,,,
502,Loom Network (NEW),loom,loom-network-new,Noah,Alt L1 network Sidechain,,,,,,,,,,,,,,,,,,,,,
503,CargoX,cxo,cargox,Noah,document sharing platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
504,Vite,vite,vite,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
505,BTRIPS,btr,btrips,Noah,marketplace,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
506,DuckDaoDime,ddim,duckdaodime,Noah,launchpad,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
507,GroveCoin,grv,grove,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
508,LINA,lina,lina,Noah,LUNA equivalent - crashed. nothing more found,,,,,,,,,,,,,,,,,,,,,
509,Electronic USD,eusd,electronic-usd,Noah,stablecoin,EEP21PP01EUR,EUR-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
510,Mithril,mith,mithril,Noah,nothing concrete found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
511,Twitfi,twt,twitfi,Noah,twitter game,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
512,Lyra Finance,lyra,lyra-finance,Noah,options backend,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
513,Digix Gold,dgx,digix-gold,Noah,gold pegged token,EEP21PP02,Asset-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
514,Everest,id,everid,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
515,Elastos,ela,elastos,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
516,FlexMeme,flex,flexmeme,Noah,not relevant 1M mcap peak,,,,,,,,,,,,,,,,,,,,,
517,Everex,evx,everex,Noah,ICO pump dump noting found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
518,Auctus,auc,auctus,Noah,DeFi options - looks dead,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
519,XCAD Network,xcad,xcad-network,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
520,Fasttoken,ftn,fasttoken,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
521,Youwho,you,youwho,Noah,service platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
522,Neutrino System Base,nsbt,neutrino-system-base-token,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
523,DAD,dad,decentralized-advertising,Noah,on another network,,,,,,,,,,,,,,,,,,,,,
524,Waltonchain,wtc,waltonchain,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
525,YF Link,yfl,yflink,Noah,project not on the blockchain,,,,,,,,,,,,,,,,,,,,,
526,Cratos,crts,cratos,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
527,Blockzero Labs,xio,xio,Noah,protocol development DAO,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
528,Octo,octo,octo,Noah,LSD nothing live yet,,,,,,,,,,,,,,,,,,,,,
529,Santiment Network,san,santiment-network-token,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
530,BaaSid,baas,baasid,Noah,nothing found,,,,,,,,,,,,,,,,,,,,,
531,Atomic Wallet Coin,awc,atomic-wallet-coin,Noah,wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
532,Raiden Network,rdn,raiden-network,Noah,off chain payment provider,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
533,TokenClub,tct,tokenclub,Noah,websites registry??,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
534,RAMP [OLD],ramp,ramp,Noah,DeFi protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
535,TradeWix,wix,tradewix,Noah,no relevance too small,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
536,Wrapped Beacon ETH,wbeth,wrapped-beacon-eth,Noah,wrapped eth,,,,,,,,,,,,,,,,,,,,,
537,FreeRossDAO,free,freerossdao,Noah,,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
538,Quickswap [OLD],quick,quick,Noah,DEX,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
539,DeFine,dfa,define,Noah,no info,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
540,QASH,qash,qash,Noah,migrated away from ethereum + centralized service which crashed,,,,,,,,,,,,,,,,,,,,,
541,Cryptaur,cpt,cryptaur,Noah,ICO pump dump noting found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
542,EncrypGen,dna,encrypgen,Noah,ICO pump dump noting found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
543,Bluzelle,blz,bluzelle,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
544,ForTube,for,force-protocol,Noah,defi protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
545,TemDAO,tem,temdao,Noah,"not relevant, too small",,,,,,,,,,,,,,,,,,,,,
546,Hakka Finance,hakka,hakka-finance,Noah,no governance found,,,,,,,,,,,,,,,,,,,,,
547,SingularDTV,sngls,singulardtv,Noah,ICO pump dump noting found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
548,SelfKey,key,selfkey,Noah,no governance through token,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
549,Whiteheart,white,whiteheart,Noah,wrapper,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
550,bZx Protocol,bzrx,bzx-protocol,Noah,"no info, websites not working",,,,,,,,,,,,,,,,,,,,,
551,Aura Finance,aura,aura-finance,Noah,yield protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
552,Conscious Value Network,cvnt,content-value-network,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
553,OST,ost,simple-token,Noah,ICO pump dump noting found,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
554,Vesper Finance,vsp,vesper-finance,Noah,DeFi protocol,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
555,DIGG,digg,digg,Noah,"bitcoin pegged token, failed",EEP21PP02,Asset-Pegged Payment Token,,,,,,,,,,,,,,,,,,,
556,Gods Unchained,gods,gods-unchained,Noah,game built on immutableX,,,,,,,,,,,,,,,,,,,,,
557,Hoge Finance,hoge,hoge-finance,Noah,DAO building projects,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
558,Banana,banana,banana,Noah,game  ,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
559,ASTA,asta,asta,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
560,Nebulas,nas,nebulas,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
561,saffron.finance,sfi,saffron-finance,Noah,defi protocol,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
562,AgaveCoin,agvc,agavecoin,Noah,ICO pump dump noting found & too small,,,,,,,,,,,,,,,,,,,,,
563,CyberTronchain,ctc,cybertronchain,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
564,Pluton,plu,pluton,Noah,CeFi app reward tokens,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
565,LGCY Network,lgcy,lgcy-network,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
566,humanDAO,hdao,humandao,Noah,social DAO,EEP22NT02,Governance Token,,,,,,,,,,,,,,,,,,,
567,Tiger King Coin,tking,tiger-king,Noah,no info,,,,,,,,,,,,,,,,,,,,,
568,Frontier,front,frontier-token,Noah,wallet,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
569,Boson Protocol,boson,boson-protocol,Noah,DAO since 1 year...,,,,,,,,,,,,,,,,,,,,,
570,Firmachain,fct,firmachain,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
571,Linkeye,let,linkeye,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
572,VIDT DAO,vidt,vidt-dao,Noah,say they have governance but they don't. looks like a scam,,,,,,,,,,,,,,,,,,,,,
573,OAX,oax,openanx,Noah,no info,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
574,MUX Protocol,mcb,mcdex,Noah,governance and protocol on Arbitrum,,,,,,,,,,,,,,,,,,,,,
575,NFTX,nftx,nftx,Noah,NFT marketplace & etc.,EEP22TU03,Settlement and Governance Token,,,,,,,,,,,,,,,,,,,
576,Zap,zap,zap,Noah,"oracle, nfts, defi protocol",EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
577,Bubblefong,bbf,bubblefong,Noah,no governance yet. gaming,,,,,,,,,,,,,,,,,,,,,
578,Vivid Labs,vid,videocoin,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
579,Bitgert,brise,bitrise-token,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
580,Bounce,auction,auction,Noah,governance but no votes...,,,,,,,,,,,,,,,,,,,,,
581,1World,1wo,1world,Noah,advertising platform,EEP22TU01,Settlement Token,,,,,,,,,,,,,,,,,,,
582,FUSION,fsn,fsn,Noah,ICO pump dump noting found,,,,,,,,,,,,,,,,,,,,,
583,AIOZ Network,aioz,aioz-network,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
584,Morpheus Network,mnw,morpheus-network,Noah,Alt L1 network,,,,,,,,,,,,,,,,,,,,,
585,Open Campus,edu,edu-coin,Noah,on bnb smart chain,,,,,,,,,,,,,,,,,,,,,
